"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 07","46.60","45.70","46.63","45.60","350.82M","2.42%"
"2023- 12- 06","45.50","47.21","47.39","45.41","380.59M","-2.30%"
"2023- 12- 05","46.57","45.47","46.60","45.27","371.72M","2.33%"
"2023- 12- 04","45.51","46.08","46.08","45.01","437.54M","-2.69%"
"2023- 12- 01","46.77","46.52","47.20","46.19","369.32M","0.00%"
"2023- 11- 30","46.77","48.02","48.11","46.42","526.25M","-2.85%"
"2023- 11- 29","48.14","48.38","48.76","47.86","382.00M","0.67%"
"2023- 11- 28","47.82","48.24","48.32","47.47","401.49M","-0.87%"
"2023- 11- 27","48.24","47.80","48.53","47.65","395.66M","0.96%"
"2023- 11- 24","47.78","48.47","48.92","47.74","294.64M","-1.93%"
"2023- 11- 22","48.72","49.85","50.33","47.69","900.64M","-2.44%"
"2023- 11- 21","49.94","50.13","50.52","49.22","565.75M","-0.93%"
"2023- 11- 20","50.41","49.31","50.55","49.18","416.14M","2.25%"
"2023- 11- 17","49.30","49.52","49.72","49.01","325.90M","-0.36%"
"2023- 11- 16","49.48","48.68","49.52","48.33","339.76M","1.21%"
"2023- 11- 15","48.89","49.94","49.96","48.20","475.50M","-1.55%"
"2023- 11- 14","49.66","49.68","49.83","49.04","416.95M","2.14%"
"2023- 11- 13","48.62","48.32","49.12","48.10","384.14M","0.58%"
"2023- 11- 10","48.34","47.50","48.47","47.28","422.44M","2.96%"
"2023- 11- 09","46.95","47.47","48.23","46.75","540.50M","0.82%"
"2023- 11- 08","46.57","46.10","46.87","45.97","346.72M","1.35%"
"2023- 11- 07","45.95","45.72","46.22","45.16","343.17M","0.44%"
"2023- 11- 06","45.75","45.28","45.94","44.90","400.73M","1.64%"
"2023- 11- 03","45.01","44.02","45.31","43.72","424.61M","3.45%"
"2023- 11- 02","43.51","43.33","43.88","42.89","409.17M","2.79%"
"2023- 11- 01","42.33","40.88","42.38","40.87","437.59M","3.80%"
"2023- 10- 31","40.78","40.45","40.88","39.23","517.97M","-0.92%"
"2023- 10- 30","41.16","41.09","41.77","40.48","388.03M","1.63%"
"2023- 10- 27","40.50","41.13","41.21","40.02","416.78M","0.42%"
"2023- 10- 26","40.33","41.85","42.26","39.88","541.00M","-3.47%"
